Pclass,Name,Sex,Age,Fare,Cabin,Embarked,Title,FareCategory,family_size,is_alone,AgeGroup,Survived
3,"Braund, Owen Harris",male,22.0,7.25,U,S,Mr,Low,2,0,YoungAdult,0
1,"Cumings, John Bradley (Florence Briggs Thayer)",female,38.0,71.2833,C,C,Mrs,VeryHigh,2,0,Adult,1
3,"Heikkinen, Laina",female,26.0,7.925,U,S,Miss,Low,1,1,YoungAdult,1
1,"Futrelle, Jacques Heath (Lily May Peel)",female,35.0,53.1,C,S,Mrs,High,2,0,YoungAdult,1
3,"Allen, William Henry",male,35.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Moran, James",male,32.25215146299484,8.4583,U,Q,Mr,Medium,1,1,YoungAdult,0
1,"McCarthy, Timothy J",male,54.0,51.8625,E,S,Mr,High,1,1,Adult,0
3,"Palsson, Gosta Leonard",male,2.0,21.075,U,S,Master,High,5,0,Child,0
3,"Johnson, Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,11.1333,U,S,Mrs,Medium,3,0,YoungAdult,1
2,"Nasser, Nicholas (Adele Achem)",female,14.0,30.0708,U,C,Mrs,High,2,0,Teen,1
3,"Sandstrom, Marguerite Rut",female,4.0,16.7,G,S,Miss,High,3,0,Child,1
1,"Bonnell, Elizabeth",female,58.0,26.55,C,S,Miss,High,1,1,Adult,1
3,"Saundercock, William Henry",male,20.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Andersson, Anders Johan",male,39.0,31.275,U,S,Mr,High,7,0,Adult,0
3,"Vestrom, Hulda Amanda Adolfina",female,14.0,7.8542,U,S,Miss,Low,1,1,Teen,0
2,"Hewlett, (Mary D Kingcome) ",female,55.0,16.0,U,S,Mrs,High,1,1,Adult,1
3,"Rice, Eugene",male,2.0,29.125,U,Q,Master,High,6,0,Child,0
2,"Williams, Charles Eugene",male,32.25215146299484,13.0,U,S,Mr,Medium,1,1,YoungAdult,1
3,"Vander Planke, Julius (Emelia Maria Vandemoortele)",female,31.0,18.0,U,S,Mrs,High,2,0,YoungAdult,0
3,"Masselmani, Fatima",female,36.91812865497076,7.225,U,C,Mrs,Low,1,1,Adult,1
2,"Fynney, Joseph J",male,35.0,26.0,U,S,Mr,High,1,1,YoungAdult,0
2,"Beesley, Lawrence",male,34.0,13.0,D,S,Mr,Medium,1,1,YoungAdult,1
3,"McGowan, Anna ""Annie""",female,15.0,8.0292,U,Q,Miss,Low,1,1,Teen,1
1,"Sloper, William Thompson",male,28.0,35.5,A,S,Mr,High,1,1,YoungAdult,1
3,"Palsson, Torborg Danira",female,8.0,21.075,U,S,Miss,High,5,0,Child,0
3,"Asplund, Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,31.3875,U,S,Mrs,High,7,0,Adult,1
3,"Emir, Farred Chehab",male,32.25215146299484,7.225,U,C,Mr,Low,1,1,YoungAdult,0
1,"Fortune, Charles Alexander",male,19.0,263.0,C,S,Mr,VeryHigh,6,0,Teen,0
3,"O'Dwyer, Ellen ""Nellie""",female,21.8243661971831,7.8792,U,Q,Miss,Low,1,1,YoungAdult,1
3,"Todoroff, Lalio",male,32.25215146299484,7.8958,U,S,Mr,Low,1,1,YoungAdult,0
1,"Uruchurtu, Manuel E",male,40.0,27.7208,U,C,Royal,High,1,1,Adult,0
1,"Spencer, William Augustus (Marie Eugenie)",female,36.91812865497076,146.5208,B,C,Mrs,VeryHigh,2,0,Adult,1
3,"Glynn, Mary Agatha",female,21.8243661971831,7.75,U,Q,Miss,Low,1,1,YoungAdult,1
2,"Wheadon, Edward H",male,66.0,10.5,U,S,Mr,Medium,1,1,Senior,0
1,"Meyer, Edgar Joseph",male,28.0,82.1708,U,C,Mr,VeryHigh,2,0,YoungAdult,0
1,"Holverson, Alexander Oskar",male,42.0,52.0,U,S,Mr,High,2,0,Adult,0
3,"Mamee, Hanna",male,32.25215146299484,7.2292,U,C,Mr,Low,1,1,YoungAdult,1
3,"Cann, Ernest Charles",male,21.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Vander Planke, Augusta Maria",female,18.0,18.0,U,S,Miss,High,3,0,Teen,0
3,"Nicola-Yarred, Jamila",female,14.0,11.2417,U,C,Miss,Medium,2,0,Teen,1
3,"Ahlin, Johan (Johanna Persdotter Larsson)",female,40.0,9.475,U,S,Mrs,Medium,2,0,Adult,0
2,"Turpin, William John Robert (Dorothy Ann Wonnacott)",female,27.0,21.0,U,S,Mrs,High,2,0,YoungAdult,0
3,"Kraeff, Theodor",male,32.25215146299484,7.8958,U,C,Mr,Low,1,1,YoungAdult,0
2,"Laroche, Simonne Marie Anne Andree",female,3.0,41.5792,U,C,Miss,High,4,0,Child,1
3,"Devaney, Margaret Delia",female,19.0,7.8792,U,Q,Miss,Low,1,1,Teen,1
3,"Rogers, William John",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Lennon, Denis",male,32.25215146299484,15.5,U,Q,Mr,High,2,0,YoungAdult,0
3,"O'Driscoll, Bridget",female,21.8243661971831,7.75,U,Q,Miss,Low,1,1,YoungAdult,1
3,"Samaan, Youssef",male,32.25215146299484,21.6792,U,C,Mr,High,3,0,YoungAdult,0
3,"Arnold-Franchi, Josef (Josefine Franchi)",female,18.0,17.8,U,S,Mrs,High,2,0,Teen,0
3,"Panula, Juha Niilo",male,7.0,39.6875,U,S,Master,High,6,0,Child,0
3,"Nosworthy, Richard Cater",male,21.0,7.8,U,S,Mr,Low,1,1,YoungAdult,0
1,"Harper, Henry Sleeper (Myna Haxtun)",female,49.0,76.7292,D,C,Mrs,VeryHigh,2,0,Adult,1
2,"Faunthorpe, Lizzie (Elizabeth Anne Wilkinson)",female,29.0,26.0,U,S,Mrs,High,2,0,YoungAdult,1
1,"Ostby, Engelhart Cornelius",male,65.0,61.9792,B,C,Mr,VeryHigh,2,0,Senior,0
1,"Woolner, Hugh",male,32.25215146299484,35.5,C,S,Mr,High,1,1,YoungAdult,1
2,"Rugg, Emily",female,21.0,10.5,U,S,Miss,Medium,1,1,YoungAdult,1
3,"Novel, Mansouer",male,28.5,7.2292,U,C,Mr,Low,1,1,YoungAdult,0
2,"West, Constance Mirium",female,5.0,27.75,U,S,Miss,High,4,0,Child,1
3,"Goodwin, William Frederick",male,11.0,46.9,U,S,Master,High,8,0,Child,0
3,"Sirayanian, Orsen",male,22.0,7.2292,U,C,Mr,Low,1,1,YoungAdult,0
1,"Icard, Amelie",female,38.0,80.0,B,S,Miss,VeryHigh,1,1,Adult,1
1,"Harris, Henry Birkhardt",male,45.0,83.475,C,S,Mr,VeryHigh,2,0,Adult,0
3,"Skoog, Harald",male,4.0,27.9,U,S,Master,High,6,0,Child,0
1,"Stewart, Albert A",male,32.25215146299484,27.7208,U,C,Mr,High,1,1,YoungAdult,0
3,"Moubarek, Gerios",male,5.482641509433963,15.2458,U,C,Master,High,3,0,Child,1
2,"Nye, (Elizabeth Ramell)",female,29.0,10.5,F,S,Mrs,Medium,1,1,YoungAdult,1
3,"Crease, Ernest James",male,19.0,8.1583,U,S,Mr,Medium,1,1,Teen,0
3,"Andersson, Erna Alexandra",female,17.0,7.925,U,S,Miss,Low,7,0,Teen,1
3,"Kink, Vincenz",male,26.0,8.6625,U,S,Mr,Medium,3,0,YoungAdult,0
2,"Jenkin, Stephen Curnow",male,32.0,10.5,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Goodwin, Lillian Amy",female,16.0,46.9,U,S,Miss,High,8,0,Teen,0
2,"Hood, Ambrose Jr",male,21.0,73.5,U,S,Mr,VeryHigh,1,1,YoungAdult,0
3,"Chronopoulos, Apostolos",male,26.0,14.4542,U,C,Mr,Medium,2,0,YoungAdult,0
3,"Bing, Lee",male,32.0,56.4958,U,S,Mr,High,1,1,YoungAdult,1
3,"Moen, Sigurd Hansen",male,25.0,7.65,F,S,Mr,Low,1,1,YoungAdult,0
3,"Staneff, Ivan",male,32.25215146299484,7.8958,U,S,Mr,Low,1,1,YoungAdult,0
3,"Moutal, Rahamin Haim",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
2,"Caldwell, Alden Gates",male,0.83,29.0,U,S,Master,High,3,0,Child,1
3,"Dowdell, Elizabeth",female,30.0,12.475,U,S,Miss,Medium,1,1,YoungAdult,1
3,"Waelens, Achille",male,22.0,9.0,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Sheerlinck, Jan Baptist",male,29.0,9.5,U,S,Mr,Medium,1,1,YoungAdult,1
3,"McDermott, Brigdet Delia",female,21.8243661971831,7.7875,U,Q,Miss,Low,1,1,YoungAdult,1
1,"Carrau, Francisco M",male,28.0,47.1,U,S,Mr,High,1,1,YoungAdult,0
2,"Ilett, Bertha",female,17.0,10.5,U,S,Miss,Medium,1,1,Teen,1
3,"Backstrom, Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,15.85,U,S,Mrs,High,4,0,YoungAdult,1
